"Date","Site.Name","RiverMile","RiverKM","Temperature.C.Daily","Turbidity.FNU.Daily","Season","Year"
2004-04-01,"Lee's_Ferry",0,NA,9.19652777777778,NA,"spring","2004"
2004-04-01,"National",167,NA,12.3258333333333,NA,"spring","2004"
2004-04-01,"Phantom",88,NA,10.7658333333333,NA,"spring","2004"
2004-04-01,"Spencer",246,NA,13.49,NA,"spring","2004"
2004-04-02,"30-mile",30,NA,9.81041666666667,NA,"spring","2004"
2004-04-02,"Above_LCR",61,NA,10.1614583333333,NA,"spring","2004"
2004-04-02,"Below_LCR",66,NA,10.4994791666667,NA,"spring","2004"
2004-04-02,"Diamond",225,NA,13.1452083333333,NA,"spring","2004"
2004-04-02,"Glen_Canyon_Dam",-16,NA,9.05736111111111,NA,"spring","2004"
2004-04-02,"LCR",NA,1,17.9010416666667,NA,"spring","2004"
2004-04-02,"Lee's_Ferry",0,NA,9.2978125,NA,"spring","2004"
2004-04-02,"National",167,NA,11.9782291666667,NA,"spring","2004"
2004-04-02,"Phantom",88,NA,10.7321875,NA,"spring","2004"
2004-04-02,"Spencer",246,NA,13.413125,NA,"spring","2004"
2004-04-03,"30-mile",30,NA,9.51260416666667,NA,"spring","2004"
2004-04-03,"Above_LCR",61,NA,10.2166666666667,NA,"spring","2004"
2004-04-03,"Below_LCR",66,NA,10.4953125,NA,"spring","2004"
2004-04-03,"Diamond",225,NA,12.6502083333333,NA,"spring","2004"
2004-04-03,"Glen_Canyon_Dam",-16,NA,9.03861111111111,NA,"spring","2004"
2004-04-03,"LCR",NA,1,17.8371875,NA,"spring","2004"
2004-04-03,"Lee's_Ferry",0,NA,9.09392361111111,NA,"spring","2004"
2004-04-03,"National",167,NA,11.8484375,NA,"spring","2004"
2004-04-03,"Phantom",88,NA,10.6784375,NA,"spring","2004"
2004-04-03,"Spencer",246,NA,13.1133333333333,NA,"spring","2004"
2004-04-04,"30-mile",30,NA,9.53614583333333,NA,"spring","2004"
2004-04-04,"Above_LCR",61,NA,9.956875,NA,"spring","2004"
